Matter,Chunk,Extraction,Mapping,F1,Precision,Recall
401,Train_0,TextRank,BM25,0.6161369193154034,0.65625,0.5806451612903226
401,Train_0,TextRank,Semantic,0.5296803652968036,0.5248868778280543,0.5345622119815668
401,Train_0,LLM,BM25,0.645,0.7049180327868853,0.5944700460829493
401,Train_0,LLM,Semantic,0.7477064220183486,0.7442922374429224,0.7511520737327189
401,Train_0,Hybrid,BM25,0.5980392156862745,0.6387434554973822,0.5622119815668203
401,Train_0,Hybrid,Semantic,0.7264367816091954,0.7247706422018348,0.728110599078341
401,Train_1,TextRank,BM25,0.6161369193154034,0.65625,0.5806451612903226
401,Train_1,TextRank,Semantic,0.5296803652968036,0.5248868778280543,0.5345622119815668
401,Train_1,LLM,BM25,0.6551724137931034,0.7037037037037037,0.6129032258064516
401,Train_1,LLM,Semantic,0.767816091954023,0.7660550458715596,0.7695852534562212
401,Train_1,Hybrid,BM25,0.6029411764705882,0.643979057591623,0.5668202764976958
401,Train_1,Hybrid,Semantic,0.7172413793103448,0.7155963302752294,0.7188940092165899
401,Train_2,TextRank,BM25,0.6161369193154034,0.65625,0.5806451612903226
401,Train_2,TextRank,Semantic,0.5296803652968036,0.5248868778280543,0.5345622119815668
401,Train_2,LLM,BM25,0.6363636363636364,0.7039106145251397,0.5806451612903226
401,Train_2,LLM,Semantic,0.7724137931034483,0.7706422018348624,0.7741935483870968
401,Train_2,Hybrid,BM25,0.6161369193154034,0.65625,0.5806451612903226
401,Train_2,Hybrid,Semantic,0.5296803652968036,0.5248868778280543,0.5345622119815668
402,Test_402_0,LLM,Semantic,0.40425531914893614,0.336283185840708,0.5066666666666667
402,Test_402_1,LLM,Semantic,0.6310160427807486,0.5267857142857143,0.7866666666666666
402,Test_402_2,LLM,Semantic,0.4574468085106383,0.3805309734513274,0.5733333333333334
403,Test_403_0,LLM,Semantic,0.23333333333333334,0.19444444444444445,0.2916666666666667
403,Test_403_1,LLM,Semantic,0.38333333333333336,0.3194444444444444,0.4791666666666667
403,Test_403_2,LLM,Semantic,0.3333333333333333,0.2777777777777778,0.4166666666666667
